"","t_name","year","bird_id","band","sex","max_dist","total_dist","start_date","end_date","duration","bathyAvg","bathyMax","bathyVar","A","max_lat","max_long","max_gmt","Tout","Tback","Yno.trips","Tno.trips","no.years","X","meandir","bird.id","no.previous.attempts","earliest.attempt","attempt.status","year_banded","status_banded","age_chicks","home_lat","home_long","max_bearing","hemisphere"
"35","ID07_2013 10","2013","ID07_2013","13194860","M",136223.0069,1662347.52539019,2013-09-26 06:30:39,2013-09-29 20:42:24,3.59149305555556,-104.041338582677,-1499,31388.0042049108,0.0819461663818014,-39.891361,143.187164,2013-09-27 00:30:47,0.750092592592593,2.84140046296296,1,1,1,2,107.358228042665,13847,3,2009,"F",1999,"chick",14,-40.3780953,144.6557384,-67.1193263228445,"west"
"36","ID07_2017 102","2017","ID07_2017","28013175","M",108102.7,783617.479538849,2017-09-29 00:06:10,2017-09-30 05:46:08,1.23608796296296,-213.824324324324,-1403,115990.70123683,0.137953405612669,-41.1198,143.8283,2017-09-29 13:42:58,0.567222222222222,0.668865740740741,1,3,3,5,146.149342815149,34099,7,2005,"F",1995,"chick",22,-40.3780953,144.6557384,-139.957627642825,"west"
"37","ID07_2019 129","2019","ID07_2019","13227043","F",144406.6,588278.797929732,2019-09-29 21:34:35,2019-10-02 21:53:07,3.01287037037037,-58.6258823529412,-76,122.088479467259,0.245473065675994,-39.11572,144.2672,2019-10-01 07:47:07,1.42537037037037,1.5875,2,3,2,7,150.595325756845,39223,4,2014,NA,2007,"chick",12,-40.3780953,144.6557384,-13.4896444366916,"west"
"38","ID07_2019 130","2019","ID07_2019","13227043","F",131686.2,608326.512535956,2019-10-02 23:35:03,2019-10-05 03:53:44,2.1796412037037,-65.531561461794,-103,496.31650055371,0.216472892905874,-39.38746,143.8131,2019-10-04 00:32:01,1.03956018518519,1.14008101851852,2,3,2,7,150.595325756845,39223,4,2014,NA,2007,"chick",12,-40.3780953,144.6557384,-33.5081103400951,"west"
"39","ID08_2013 11","2013","ID08_2013","UB","F",115689.3048,1038562.22518691,2013-09-24 07:09:48,2013-09-26 18:44:03,2.48211805555556,-104.760115606936,-1203,31697.8408394069,0.11139371526745,-41.333309,144.114426,2013-09-25 00:05:28,0.705324074074074,1.77679398148148,2,NA,NA,2,107.358228042665,NA,NA,NA,NA,NA,NA,NA,-40.3780953,144.6557384,-156.895632118484,"west"
"40","ID08_2013 12","2013","ID08_2013","UB","F",145166.5206,1747638.50411569,2013-09-26 20:03:58,2013-09-30 22:16:53,4.09230324074074,-83.3152542372881,-979,6038.30791631895,0.0830643867471063,-39.766621,143.150528,2013-09-27 06:19:53,0.427719907407407,3.66458333333333,2,NA,NA,2,107.358228042665,NA,NA,NA,NA,NA,NA,NA,-40.3780953,144.6557384,-62.6168771793725,"west"
"41","ID08_2015 83","2015","ID08_2015","28005409","U",107961.6,413977.078738499,2015-09-25 08:19:11,2015-09-26 13:51:30,1.23077546296296,-31.2988505747126,-102,746.256992890838,0.260791250397216,-40.22632,143.3997,2015-09-25 18:05:17,0.407013888888889,0.823761574074074,2,2,1,3,162.528437874844,27207,7,1995,"F",1985,"chick",30,-40.3780953,144.6557384,-81.4378162693449,"west"
"42","ID08_2015 84","2015","ID08_2015","28005409","U",90051.32,294152.615824964,2015-09-26 17:38:33,2015-09-28 17:03:10,1.97542824074074,-26.6205533596838,-64,158.498306041784,0.306138090077653,-39.92688,143.7773,2015-09-28 12:50:54,1.80024305555556,0.175185185185185,2,2,1,3,162.528437874844,27207,7,1995,"F",1985,"chick",30,-40.3780953,144.6557384,-56.4855344498331,"west"
"43","ID09_2013 13","2013","ID09_2013","28001837","M",391378.8,3845004.97825002,2013-09-26 23:31:22,2013-10-06 19:01:28,9.81256944444444,-398.321589205397,-2890,250731.018033181,0.10178889291793,-38.2723,141.0153,2013-10-03 07:27:06,6.33037037037037,3.48219907407407,1,1,1,2,107.358228042665,22099,16,1981,"F",1982,"adult",NA,-40.3780953,144.6557384,-54.4872182131456,"west"
"44","ID10_2013 14","2013","ID10_2013","28013037","F",156322.5,1198653.61614886,2013-09-24 21:24:29,2013-09-28 20:37:28,3.96734953703704,-42.9537366548043,-97,594.59322130664,0.130415073957935,-39.16602,143.7331,2013-09-27 02:53:12,2.22827546296296,1.73907407407407,1,4,3,2,107.358228042665,33961,3,2009,"S",1995,"chick",18,-40.3780953,144.6557384,-30.7256220074734,"west"
"45","ID10_2015 85","2015","ID10_2015","13214053","U",128725.9,1597798.05058675,2015-09-25 09:47:06,2015-10-02 11:00:22,7.05087962962963,-140.008391608392,-801,25416.7058118352,0.0805645619311706,-39.79691,143.349,2015-09-26 14:18:28,1.18844907407407,5.86243055555556,1,1,1,3,162.528437874844,19295,7,2003,"F",2004,"adult",NA,-40.3780953,144.6557384,-60.3487519561544,"west"
"46","ID10_2016 304","2016","ID10_2016","28013185","F",259061.7,1727522.63405907,2016-10-07 23:23:47,2016-10-13 21:50:46,5.93540509259259,-109.432632880099,-1340,47335.4784387277,0.149961392628065,-38.74538,142.5044,2016-10-08 19:10:34,0.824155092592593,5.11125,1,5,2,4,118.056362097962,34109,6,2009,"F",1995,"chick",21,-40.3780953,144.6557384,-46.2537719472457,"west"
"47","ID10_2017 103","2017","ID10_2017","13207441","U",189611,1205614.66460203,2017-09-29 00:07:56,2017-09-30 22:58:08,1.95152777777778,-330.22305764411,-2241,282156.017959472,0.15727330262907,-39.01366,143.3305,2017-09-29 07:50:49,0.321446759259259,1.63008101851852,1,1,1,5,146.149342815149,16850,13,2001,"F",2001,"adult",NA,-40.3780953,144.6557384,-37.3068691028645,"west"
"48","ID10_2019 131","2019","ID10_2019","13249784","F",517847.6,1786201.70333507,2019-09-30 06:34:00,2019-10-06 04:53:02,5.92988425925926,-308.453333333333,-1393,172161.830647249,0.289915522436862,-37.68527,139.7706,2019-10-03 06:56:19,3.01549768518519,2.91438657407407,1,1,1,7,150.595325756845,47815,0,2019,NA,2019,"adult",NA,-40.3780953,144.6557384,-56.3075657729562,"west"
"49","ID11_2013 15","2013","ID11_2013","13206777","F",76254.87,937996.598742408,2013-09-24 07:50:11,2013-09-26 21:37:03,2.57421296296296,-40.6376021798365,-101,680.619675109066,0.0812954653590819,-40.83652,143.9853,2013-09-25 00:53:39,0.710740740740741,1.86347222222222,1,1,1,2,107.358228042665,16226,3,2009,"F",2001,"chick",12,-40.3780953,144.6557384,-132.11536712624,"west"
"50","ID11_2015 86","2015","ID11_2015","13240351","U",149588.8,655144.884239512,2015-09-25 17:24:21,2015-09-29 05:27:29,3.50217592592593,-74.2946175637394,-714,8415.39590844708,0.228329341491603,-41.71273,144.4482,2015-09-28 03:08:27,2.405625,1.09655092592593,1,1,1,3,162.528437874844,45146,0,2015,"F",2015,"adult",NA,-40.3780953,144.6557384,-173.35360706435,"west"
